




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (5597)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (expected)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (over/under)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (FDR)
mitochondrial cytochrome c oxidase assembly (GO:0033617)	22	18	5.98	+	3.01	7.68E-04	2.68E-02
respiratory chain complex IV assembly (GO:0008535)	26	21	7.07	+	2.97	4.61E-04	1.77E-02
maturation of 5.8S rRNA (GO:0000460)	35	27	9.51	+	2.84	1.25E-04	5.71E-03
mitotic spindle assembly checkpoint signaling (GO:0007094)	25	19	6.79	+	2.80	1.27E-03	4.06E-02
mitotic spindle checkpoint signaling (GO:0071174)	25	19	6.79	+	2.80	1.27E-03	4.05E-02
spindle assembly checkpoint signaling (GO:0071173)	25	19	6.79	+	2.80	1.27E-03	4.04E-02
viral budding (GO:0046755)	25	19	6.79	+	2.80	1.27E-03	4.03E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	27	20	7.34	+	2.73	1.04E-03	3.45E-02
mitochondrial RNA metabolic process (GO:0000959)	42	31	11.41	+	2.72	4.48E-05	2.36E-03
virion assembly (GO:0019068)	34	25	9.24	+	2.71	3.23E-04	1.32E-02
multivesicular body assembly (GO:0036258)	30	22	8.15	+	2.70	5.94E-04	2.18E-02
spindle checkpoint signaling (GO:0031577)	26	19	7.07	+	2.69	1.56E-03	4.82E-02
maturation of LSU-rRNA (GO:0000470)	28	20	7.61	+	2.63	1.33E-03	4.19E-02
multivesicular body organization (GO:0036257)	31	22	8.42	+	2.61	1.08E-03	3.53E-02
ribosomal large subunit biogenesis (GO:0042273)	72	51	19.57	+	2.61	6.66E-07	4.76E-05
cytochrome complex assembly (GO:0017004)	36	25	9.78	+	2.56	4.81E-04	1.83E-02
cytoplasmic translation (GO:0002181)	122	84	33.16	+	2.53	3.25E-10	3.43E-08
negative regulation of mitotic nuclear division (GO:0045839)	35	24	9.51	+	2.52	7.12E-04	2.50E-02
mitochondrial gene expression (GO:0140053)	86	58	23.37	+	2.48	3.30E-07	2.54E-05
ribosome assembly (GO:0042255)	61	41	16.58	+	2.47	1.58E-05	9.14E-04
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	28	11.41	+	2.45	3.76E-04	1.49E-02
spliceosomal snRNP assembly (GO:0000387)	37	24	10.06	+	2.39	1.45E-03	4.51E-02
ribonucleoprotein complex subunit organization (GO:0071826)	193	124	52.45	+	2.36	5.08E-13	7.19E-11
ribonucleoprotein complex assembly (GO:0022618)	186	118	50.55	+	2.33	3.71E-12	4.59E-10
translational elongation (GO:0006414)	46	29	12.50	+	2.32	6.03E-04	2.20E-02
ribosomal small subunit biogenesis (GO:0042274)	73	46	19.84	+	2.32	1.58E-05	9.12E-04
mitochondrial translation (GO:0032543)	54	34	14.68	+	2.32	2.15E-04	9.31E-03
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	45	28	12.23	+	2.29	8.72E-04	2.97E-02
